latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,068723916;-34,88758487;R. Romeu Gomes, 6 - Coelhos, Recife - PE, 50060-620, Brasil;Rua Romeu Gomes;6;Coelhos;Recife;PE;50060-620;Brasil;ChIJq6MODMkYqwcRPAy-cWn-3K8;google
-8,068515672;-34,88749544;R. Pref. Jorge Martins, 258 - Coelhos, Recife - PE, 50060-310, Brasil;Rua Prefeito Jorge Martins;258;Coelhos;Recife;PE;50060-310;Brasil;ChIJT32pCckYqwcRyWJ1bNjffjc;google
-8,066932383;-34,88687921;R. Pref. Jorge Martins, 50 - Coelhos, Recife - PE, 50060-310, Brasil;Rua Prefeito Jorge Martins;50;Coelhos;Recife;PE;50060-310;Brasil;ChIJ17xpWcgYqwcR9mmo31Scnz0;google
-8,029540496;-34,92154447;R. Prof. Álvaro Lima, 111 - Casa Amarela, Recife - PE, 52070-005, Brasil;Rua Professor Álvaro Lima;111;Casa Amarela;Recife;PE;52070-005;Brasil;ChIJx9jrI6QZqwcRVZ4lpKYy1qc;google
-8,042981767;-34,94364613;Av. Prof. Moraes Rego, 472 - Iputinga, Recife - PE, 50740-425, Brasil;Avenida Professor Moraes Rego;472;Iputinga;Recife;PE;50740-425;Brasil;ChIJ-TAz62QZqwcRkXef4AXw8ls;google
-8,040177471;-34,94215099;Av. Prof. Moraes Rego, 185 - Iputinga, Recife - PE, 50740-425, Brasil;Avenida Professor Moraes Rego;185;Iputinga;Recife;PE;50740-425;Brasil;ChIJkWCi33oZqwcRPDK9VyaoPxs;google
-8,040016035;-34,94246963;Rod. Governador Mário Covas, 833 - Iputinga, Recife - PE, 50670-420, Brasil;Rodovia Governador Mário Covas;833;Iputinga;Recife;PE;50670-420;Brasil;ChIJz96YHXsZqwcRY-l1s1mxbE4;google
-8,029121318;-34,9329087;R. Simonesia, 21 - Iputinga, Recife - PE, 50680-270, Brasil;Rua Simonesia;21;Iputinga;Recife;PE;50680-270;Brasil;ChIJfRFWtp4ZqwcRdVkos5HMK-c;google
-8,062231515;-34,93560467;Rua Quilombo, 15 - Torrões, Recife - PE, 50640-640, Brasil;Rua Quilombo;15;Torrões;Recife;PE;50640-640;Brasil;ChIJgZubFU8ZqwcRTB7lVToAhSg;google
-8,061595678;-34,93544909;Vila Srg. Biu, 15 - Torrões, Recife - PE, 50640-570, Brasil;Vila Sargento Biu;15;Torrões;Recife;PE;50640-570;Brasil;ChIJsV5uQk8ZqwcRriftS6LdNbE;google
-8,06171586;-34,93549538;R. Jordão, 161 - Torrões, Recife - PE, 50640-800, Brasil;Rua Jordão;161;Torrões;Recife;PE;50640-800;Brasil;ChIJyer_aU8ZqwcRm8pMbBRqDOE;google
-8,006592863;-34,90879694;R. Eládio Camboim, 3 - Linha do Tiro, Recife - PE, 52140-135, Brasil;Rua Eládio Camboim;3;Linha do Tiro;Recife;PE;52140-135;Brasil;ChIJxRmW89IZqwcRdxBsbTEvbds;google
-8,030274798;-34,93423173;R. Guaratiba, 3 - Iputinga, Recife - PE, 50680-290, Brasil;Rua Guaratiba;3;Iputinga;Recife;PE;50680-290;Brasil;ChIJ99j2J5wZqwcR4nxWKDhYsOQ;google
