latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,060378885;-34,908732;R. Dr. José Marcelino, 153 - Madalena, Recife - PE, 50720-070, Brasil;Rua Doutor José Marcelino;153;Madalena;Recife;PE;50720-070;Brasil;ChIJK2R6GycZqwcR_S4a_zPac_o;google
-8,084268048;-34,91757215;R. Carlos Pena Filho, 388 - Afogados, Recife - PE, 50850-030, Brasil;Rua Carlos Pena Filho;388;Afogados;Recife;PE;50850-030;Brasil;ChIJH8bHNNseqwcRlTP-TlWxTmQ;google
-8,083388366;-34,91736187;R. Carlos Pena Filho, 223 - Afogados, Recife - PE, 50850-030, Brasil;Rua Carlos Pena Filho;223;Afogados;Recife;PE;50850-030;Brasil;ChIJ4UYXKtseqwcRCkd87QSb6kA;google
-8,091299296;-34,9121842;Rua Grasiela, 207 - Imbiribeira, Recife - PE, 51170-480, Brasil;Rua Grasiela;207;Imbiribeira;Recife;PE;51170-480;Brasil;ChIJQVS_UuceqwcRLlBVX6SJO5U;google
-8,091958481;-34,92484777;R. Cassiano, 86 - Estância, Recife - PE, 50771-215, Brasil;Rua Cassiano;86;Estância;Recife;PE;50771-215;Brasil;ChIJG3F5tOseqwcRoWO8vSs-7kw;google
-8,087073687;-34,95156918;R. Prof. Silvio Rabêlo, 13A - Jardim São Paulo, Recife - PE, 50920-270, Brasil;Rua Professor Silvio Rabêlo;13A;Jardim São Paulo;Recife;PE;50920-270;Brasil;ChIJX0vV9x8cqwcRO1pq9DBV_zI;google
-8,086447197;-34,95216147;R. Claudino José de Lima, 156 - Jardim São Paulo, Recife - PE, 50920-280, Brasil;Rua Claudino José de Lima;156;Jardim São Paulo;Recife;PE;50920-280;Brasil;ChIJ5Yg0jR8cqwcRR-tAAG4tlKo;google
-8,087557843;-34,95115366;R. Claudino José de Lima, 10a - Jardim São Paulo, Recife - PE, 50920-280, Brasil;Rua Claudino José de Lima;10a;Jardim São Paulo;Recife;PE;50920-280;Brasil;ChIJG5INBSAcqwcRer8jlMV_Z2U;google
-8,004188216;-34,91195539;R. Leôncio Rodrigues, 105 - Dois Unidos, Recife - PE, 52150-050, Brasil;Rua Leôncio Rodrigues;105;Dois Unidos;Recife;PE;52150-050;Brasil;ChIJO-OHX9EZqwcRsiVfVgmNpSA;google
-8,104467272;-34,92700898;R. Col. Isabel, 215a - Ipsep, Recife - PE, 51350-391, Brasil;Rua Colônia Isabel;215a;Ipsep;Recife;PE;51350-391;Brasil;ChIJ2Xt46_QeqwcRaaso1mbvi8Q;google
-8,046298835;-34,9249006;R. Costa Maia, 826 - Cordeiro, Recife - PE, 50711-360, Brasil;Rua Costa Maia;826;Cordeiro;Recife;PE;50711-360;Brasil;ChIJX6NeuhMZqwcRCeJNUwQchDI;google
-8,004696845;-34,89157687;R. Cortês, 165 - Porto da Madeira, Recife - PE, 52130-320, Brasil;Rua Cortês;165;Porto da Madeira;Recife;PE;52130-320;Brasil;ChIJQYpimSYYqwcREh6Ki3WvXe0;google
-8,003811146;-34,89125228;R. Cortês, 261 - Porto da Madeira, Recife - PE, 52130-320, Brasil;Rua Cortês;261;Porto da Madeira;Recife;PE;52130-320;Brasil;ChIJNQ2ZwSYYqwcRTPCmYOlvcu8;google
-8,055210863;-34,87890087;R. da Fundição, 23 - Santo Amaro, Recife - PE, 50040-100, Brasil;Rua da Fundição;23;Santo Amaro;Recife;PE;50040-100;Brasil;ChIJ36Iu1pUYqwcR2yaVyzfHA6k;google
-7,997270138;-34,92743533;R. Alto do Refúgio, 1200 - Nova Descoberta, Recife - PE, 52191-100, Brasil;Rua Alto do Refúgio;1200;Nova Descoberta;Recife;PE;52191-100;Brasil;ChIJHcyC9N8ZqwcRDVR-E08T5Mk;google
-7,996373613;-34,9326248;R. Alto Jequiri, 490 - Brejo da Guabiraba, Recife - PE, 52291-100, Brasil;Rua Alto Jequiri;490;Brejo da Guabiraba;Recife;PE;52291-100;Brasil;ChIJlYdQYF8XqwcRJgnnj9rZ2I4;google
-8,087417843;-34,92548272;R. Emídio Carvalheira, 176 - Jiquiá, Recife - PE, 50771-370, Brasil;Rua Emídio Carvalheira;176;Jiquiá;Recife;PE;50771-370;Brasil;ChIJu2m5rMEeqwcRuYkdc8kTiLA;google
